station_id,terrain,landclass
aotizhongxin_aq,flat,park
badaling_aq,flat,park
beibuxinqu_aq,flat,park
beijing_grid_202,flat,suburbs
beijing_grid_203,flat,suburbs
beijing_grid_204,mountain,forest
beijing_grid_216,flat,orchard
beijing_grid_223,hills,forest
beijing_grid_224,mountain,forest
beijing_grid_225,flat,park
beijing_grid_239,flat,orchard
beijing_grid_240,flat,city
beijing_grid_261,flat,city
beijing_grid_262,flat,park
beijing_grid_263,flat,park
beijing_grid_265,mountain,forest
beijing_grid_278,flat,farm
beijing_grid_282,flat,park
beijing_grid_283,flat,city
beijing_grid_301,flat,industrial
beijing_grid_303,flat,city
beijing_grid_304,flat,park
beijing_grid_323,flat,city
beijing_grid_366,flat,park
beijing_grid_385,flat,farm
beijing_grid_414,reservoir,forest
beijing_grid_452,flat,farm
chaoyang_meo,flat,park
daxing_aq,flat,industrial
dingling_aq,flat,orchard
donggaocun_aq,flat,farm
dongsi_aq,flat,suburbs
dongsihuan_aq,flat,park
fangshan_aq,flat,suburbs
fangshan_meo,flat,park
fengtai_meo,flat,park
fengtaihuayuan_aq,flat,park
guanyuan_aq,flat,city
gucheng_aq,flat,city
hadian_meo,flat,city
huairou_aq,flat,city
huairou_meo,flat,suburbs
liulihe_aq,flat,farm
mentougou_aq,flat,park
miyun_aq,flat,park
miyun_meo,flat,farm
miyunshuiku_aq,reservoir,forest
nansanhuan_aq,flat,park
nongzhanguan_aq,flat,park
pingchang_aq,flat,park
pingchang_meo,flat,suburbs
pinggu_aq,flat,park
pinggu_meo,flat,park
qianmen_aq,flat,suburbs
shunyi_aq,flat,park
shunyi_meo,flat,suburbs
tiantan_aq,flat,park
tongzhou_aq,flat,city
wanliu_aq,flat,park
wanshouxigong_aq,flat,suburbs
xizhimenbei_aq,flat,city
yanqin_aq,flat,park
yanqin_meo,flat,park
yizhuang_aq,flat,city
yongdingmennei_aq,flat,park
yongledian_aq,flat,farm
yufa_aq,flat,farm
yungang_aq,flat,suburbs
zhiwuyuan_aq,mountain,park
