aq_station,met_station
BX9,london_grid_472
BX1,london_grid_472
BL0,london_grid_409
CD9,london_grid_409
CD1,london_grid_388
CT2,london_grid_409
CT3,london_grid_409
CR8,london_grid_408
GN0,london_grid_451
GR4,london_grid_451
GN3,london_grid_451
GR9,london_grid_430
GB0,london_grid_451
HR1,london_grid_368
HV1,london_grid_472
LH0,london_grid_346
KC1,london_grid_388
KF1,london_grid_388
LW2,london_grid_430
RB7,london_grid_452
TD5,london_grid_366
ST5,london_grid_408
TH4,london_grid_430
MY7,london_grid_409
